sentence,intent,language
gas booking,gas_payment,en
cylinder booking,gas_payment,en
want to do gas booking,gas_payment,en
i want to do gas booking,gas_payment,en
i want to do gas booking,gas_payment,en
payment of gas,gas_payment,en
payment for gas,gas_payment,en
gas payment,gas_payment,en
Reserve LPG,gas_payment,en
Book gas ,gas_payment,en
Get cylinder ,gas_payment,en
Order gas ,gas_payment,en
Order gas cylinder,gas_payment,en
Refill LPG ,gas_payment,en
Refill gas ,gas_payment,en
gas booking,gas_payment,en
Do gas booking,gas_payment,en
Book cylinder,gas_payment,en
refill cylinder,gas_payment,en
Refill lpg cylinder,gas_payment,en
Book lpg cylinder,gas_payment,en
Order gas cylinder online,gas_payment,en
Refill gas cylinder delivery,gas_payment,en
Book gas refill,gas_payment,en
Request gas cylinder delivery,gas_payment,en
Order home gas cylinder,gas_payment,en
Book gas cylinder,gas_payment,en
Arrange gas cylinder delivery,gas_payment,en
Assist with cylinder booking,gas_payment,en
Place gas cylinder order,gas_payment,en
I need an LPG cylinder,gas_payment,en
order a gas cylinder,gas_payment,en
reserve a cylinder of gas,gas_payment,en
book a gas cylinder,gas_payment,en
Refill a gas cylinder for me,gas_payment,en
Book cylinder of gas,gas_payment,en
I would like to place an order for a gas cylinder,gas_payment,en
Can I schedule a gas cylinder delivery?,gas_payment,en
I need to book a gas refill for my cooking gas,gas_payment,en
I want to order a gas cylinder for my home,gas_payment,en
I need to arrange for a gas cylinder delivery at my residence,gas_payment,en
Can you assist me with booking a gas cylinder refill?,gas_payment,en
I'm looking to place an order for a gas cylinder for my kitchen,gas_payment,en
requesting to book an LPG cylinder,gas_payment,en
I need to arrange for a gas cylinder booking,gas_payment,en
looking to get LPG cylinder refill,gas_payment,en
Make booking for an LPG cylinder refill,gas_payment,en
Reserve bharat gas LPG,gas_payment,en
Book gas from jyothi gas company,gas_payment,en
Get h p gas company cylinder ,gas_payment,en
Order gas from bharat petroleum,gas_payment,en
Order gas cylinder from jyothi gas,gas_payment,en
Refill hindustan petroleum LPG ,gas_payment,en
Refill indane gas gas ,gas_payment,en
b p c l gas booking,gas_payment,en
Do indian gas gas booking,gas_payment,en
Book jyothi gas cylinder,gas_payment,en
refill cylinder from indian oil corporation,gas_payment,en
Order jyothi gas private limited gas company cylinder online,gas_payment,en
Refill gas cylinder from jyothi gas private limited company,gas_payment,en
order indane gas gas cylinder,gas_payment,en
Request indane gas gas booking,gas_payment,en
Refill b p c l gas cylinder,gas_payment,en
Refill hindustan petroleum gas booking,gas_payment,en
Acquire indane gas cylinder,gas_payment,en
jyothi gas private limited gas booking,gas_payment,en
Place order for b p c l gas,gas_payment,en
Reserve bharat petroleum gas cylinder,gas_payment,en
Book online h p gas,gas_payment,en
Place order b p c l cylinder,gas_payment,en
Book indian gas LPG,gas_payment,en
Order indane gas,gas_payment,en
Book hindustan petroleum corporation limited cylinder,gas_payment,en
Refill b p c l gas,gas_payment,en
request a booking for jyothi gas private limited gas,gas_payment,en
reserve a jyoti gas gas cylinder,gas_payment,en
I would like to reserve a b p c l gas cylinder,gas_payment,en
